sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
summary,,,,60.81%,,,
0,Novattgorica,Rogasjattslatina,69.0,True,[96.0],[174.0],
1,Rogasjattslatina,Radenci,112.5,True,[154.1],[273.7],
2,Dravograd,Izola,57.0,True,[92.2],[188.8],
3,Portoroz,Krsko,66.0,False,[],[],
4,Lasko,Tolmin,48.0,True,[72.4],[186.0],
5,Kranj,Murskattsobota,106.5,False,[],[],
6,Peercelje_0,Ravnettnattkoroskem,106.5,True,[126.0],[265.0],
7,Rogasjattslatina,Ljutomer,61.5,False,[],[],
8,Ormoz,Lasko,48.0,False,[17.6],[195.0],Maribor-Lasko(17.6)
9,Postojna,Celje,121.5,False,[],[],
10,Trbovlje,Krsko,49.5,True,[108.5],[178.0],
11,Jesenice,Ajdovscina,94.5,False,[54.0],[194.4],Jesenice-Kranj(63.0); Kranj-Koper(54.0); Koper-Ljubljana(57.0)
12,Portoroz,Ajdovscina,51.0,False,[],[],
13,Ormoz,Slovenskattbistrica,91.5,True,[122.0],[256.0],
14,Ormoz,Dravograd,49.5,True,[68.0],[195.0],
15,Peercelje_0,Ptuj,78.0,False,[],[],
16,Jesenice,Rogasjattslatina,96.0,True,[128.0],[228.6],
17,Tolmin,Sezana,127.5,False,[34.0],[152.0],Tolmin-Novattgorica(95.0); Ljubljana-Postojna(85.0); Postojna-Senozece(34.0); Senozece-Sezana(85.0)
18,Ajdovscina,Murskattsobota,84.0,True,[135.5],[280.2],
19,Postojna,Velenje,63.0,True,[106.2],[217.0],
20,Velenje,Jesenice,84.0,True,[107.0],[193.9],
21,Gornjattradgona,Novottmesto,148.5,False,[67.0],[191.8],Ljubljana-Kovevje(67.0)
22,Peercelje_0,Sezana,115.5,True,[118.0],[263.2],
23,Koper,Ptuj,66.0,False,[44.0],[191.0],Koper-Ljubljana(44.0)
24,Dravograd,Slovenskattbistrica,49.5,True,[66.0],[83.6],
25,Ormoz,Novottmesto,115.5,False,[],[],
26,Rogasjattslatina,Portoroz,45.0,False,[],[],
27,Gornjattradgona,Ljubljana,135.0,True,[275.0],[299.3],
28,Sezana,Postojna,82.5,True,[133.0],[133.0],
29,Slovenjttgradec,Ormoz,69.0,False,[],[],
30,Portoroz,Koper,51.0,True,[128.0],[140.0],
31,Dravograd,Ajdovscina,55.5,True,[73.0],[223.0],
32,Novattgorica,Celje,75.0,False,[67.5],[112.0],Ljubljana-Kamnik(67.5); Kamnik-Celje(67.5)
33,Novattgorica,Jesenice,96.0,False,[33.0],[85.8],Novattgorica-Ljubljana(59.0); Ljubljana-Kranj(85.8); Kranj-Jesenice(33.0)
34,Gornjattradgona,Peercelje_0,148.5,True,[165.0],[286.0],
35,Dravograd,Celje,97.5,True,[134.0],[190.0],
36,Ravnettnattkoroskem,Trbovlje,58.5,False,[47.8],[131.0],Velenje-Celje(47.8)
37,Trbovlje,Ajdovscina,112.5,False,[74.0],[217.0],Ljubljana-Novattgorica(112.0); Novattgorica-Ajdovscina(74.0)
38,Sezana,Peercelje_0,94.5,False,[],[],
39,Murskattsobota,Maribor,112.5,False,[56.0],[156.0],Ljutomer-Ormoz(56.0); Ormoz-Ptuj(56.0)
40,Ptuj,Slovenjttgradec,45.0,True,[88.5],[180.5],
41,Gornjattradgona,Krsko,81.0,True,[89.1],[245.0],
42,Ajdovscina,Bled,117.0,False,[105.0],[230.0],Tolmin-Bled(105.0)
43,Celje,Radenci,124.5,True,[132.0],[203.1],
44,Slovenjttgradec,Ormoz,88.5,False,[],[],
45,Peercelje_0,Slovenjttgradec,45.0,False,[],[],
46,Radenci,Krsko,52.5,False,[],[],
47,Izola,Lasko,84.0,True,[97.0],[245.0],
48,Portoroz,Ptuj,49.5,False,[19.8],[184.0],Portoroz-Divaca(31.0); Divaca-Koper(19.8)
49,Divaca,Novottmesto,52.5,True,[125.0],[223.8],
50,Jesenice,Postojna,123.0,False,[82.0],[179.0],Jesenice-Kranj(82.0)
51,Koper,Novottmesto,45.0,True,[120.0],[218.8],
52,Postojna,Radenci,96.0,True,[144.0],[246.0],
53,Novattgorica,Portoroz,75.0,False,[50.0],[91.8],Ajdovscina-Divaca(50.0); Divaca-Portoroz(50.0)
54,Kovevje,Sezana,114.0,True,[151.0],[171.0],
55,Lasko,Novottmesto,46.5,False,[31.0],[182.9],Lasko-Ljubljana(31.0)
56,Izola,Ajdovscina,118.5,False,[66.0],[193.0],Novattgorica-Ajdovscina(66.0)
57,Ljubljana,Izola,49.5,True,[100.0],[182.0],
